Clase,Nombre_Archivo,ID_Nucleo,Area_Nucleo,Perimetro_Nucleo,Circularidad_Nucleo
Early,WBC-Malignant-Early-001.jpg,1,235.5,72.38477599620819,0.5648151093130549
Early,WBC-Malignant-Early-001.jpg,2,1983.5,338.49242103099823,0.21754252777836103
Early,WBC-Malignant-Early-001.jpg,3,499.5,89.35533845424652,0.7861480622558755
Early,WBC-Malignant-Early-001.jpg,4,1213.0,204.99494695663452,0.36273073248175336
Early,WBC-Malignant-Early-001.jpg,5,429.5,89.01219248771667,0.6811990527243602
Early,WBC-Malignant-Early-001.jpg,6,212.0,83.5979790687561,0.3812011195417783
Early,WBC-Malignant-Early-001.jpg,7,452.5,86.18376541137695,0.7655569757738205
Early,WBC-Malignant-Early-001.jpg,8,496.0,96.91168701648712,0.6636502052440979
Early,WBC-Malignant-Early-001.jpg,9,378.5,75.69848430156708,0.8300445078061448
Early,WBC-Malignant-Early-001.jpg,10,483.5,129.49747347831726,0.3623128621265126
Early,WBC-Malignant-Early-001.jpg,11,746.5,137.63960909843445,0.4951682783888818
Early,WBC-Malignant-Early-001.jpg,12,270.0,74.97056245803833,0.6036595699293218
Early,WBC-Malignant-Early-002.jpg,1,355.0,97.59797883033752,0.4683349506452011
Early,WBC-Malignant-Early-002.jpg,2,1735.0,339.5634888410568,0.18908948063057104
Early,WBC-Malignant-Early-002.jpg,3,966.5,155.49747347831726,0.5023021630716823
Early,WBC-Malignant-Early-002.jpg,4,796.5,152.61017179489136,0.42976266260290874
Early,WBC-Malignant-Early-002.jpg,5,1226.0,293.42135322093964,0.1789439018552239
Early,WBC-Malignant-Early-002.jpg,7,834.0,172.1665197610855,0.3535725278730465
Early,WBC-Malignant-Early-002.jpg,8,1223.5,244.69343197345734,0.2567847411708948
Early,WBC-Malignant-Early-002.jpg,9,1098.5,246.8355667591095,0.2265658500003873
Early,WBC-Malignant-Early-002.jpg,11,663.5,130.95331728458405,0.4862031659852486
Early,WBC-Malignant-Early-002.jpg,12,1262.5,238.55129551887512,0.27879032098671735
Early,WBC-Malignant-Early-002.jpg,13,384.0,104.2253954410553,0.4442157833019127
Early,WBC-Malignant-Early-002.jpg,14,1767.0,330.33304047584534,0.20348967775855997
Early,WBC-Malignant-Early-002.jpg,15,1545.5,208.2081503868103,0.44800557783985917
Early,WBC-Malignant-Early-002.jpg,16,661.0,176.50966596603394,0.2666087123506126
Early,WBC-Malignant-Early-002.jpg,17,590.5,148.12489092350006,0.3382000588836636
Early,WBC-Malignant-Early-002.jpg,18,330.0,122.91168713569641,0.2744968998168547
Early,WBC-Malignant-Early-002.jpg,19,901.0,167.33809351921082,0.404338430955067
Early,WBC-Malignant-Early-002.jpg,21,679.0,171.1959581375122,0.2911337969019904
Early,WBC-Malignant-Early-003.jpg,1,440.5,109.49747359752655,0.4616869286137531
Early,WBC-Malignant-Early-003.jpg,2,490.0,115.88224983215332,0.4585345949261876
Early,WBC-Malignant-Early-003.jpg,3,1312.5,242.40916097164154,0.28067977475339634
Early,WBC-Malignant-Early-003.jpg,4,1665.0,270.1076444387436,0.2867809841662377
Early,WBC-Malignant-Early-003.jpg,5,231.0,63.79898941516876,0.7131719359958918
Early,WBC-Malignant-Early-003.jpg,6,653.0,151.88224947452545,0.3557205899457379
Early,WBC-Malignant-Early-003.jpg,7,158.0,66.28427076339722,0.4519037920200693
Early,WBC-Malignant-Early-003.jpg,8,442.0,87.11269783973694,0.7319294227747938
Early,WBC-Malignant-Early-003.jpg,9,1129.5,248.5512956380844,0.22975450544087167
Early,WBC-Malignant-Early-003.jpg,10,311.0,90.76955199241638,0.474340131017984
Early,WBC-Malignant-Early-003.jpg,11,389.5,75.69848430156708,0.8541673336604846
Early,WBC-Malignant-Early-003.jpg,12,734.0,149.19595789909363,0.4143733435304381
Early,WBC-Malignant-Early-003.jpg,13,458.5,88.5269113779068,0.7351882871032714
Early,WBC-Malignant-Early-003.jpg,14,225.0,68.7695517539978,0.5978606844286438
Early,WBC-Malignant-Early-003.jpg,15,431.0,89.25483286380768,0.6798665155226666
Early,WBC-Malignant-Early-003.jpg,16,1429.5,217.43859922885895,0.3799450059860808
Early,WBC-Malignant-Early-003.jpg,17,1448.0,241.13708209991455,0.31293232232130924
Early,WBC-Malignant-Early-003.jpg,18,456.5,119.49747395515442,0.4017290115107084
Early,WBC-Malignant-Early-004.jpg,2,267.5,85.6984840631485,0.45770680673135056
Early,WBC-Malignant-Early-004.jpg,3,335.5,84.52691149711609,0.5900820272850544
Early,WBC-Malignant-Early-004.jpg,4,413.0,79.11269760131836,0.8292157240223963
Early,WBC-Malignant-Early-004.jpg,5,551.5,125.98275470733643,0.4366497141781147
Early,WBC-Malignant-Early-004.jpg,6,557.5,95.1543276309967,0.7737446266948776
Early,WBC-Malignant-Early-004.jpg,7,91.0,52.627416491508484,0.4128831455688652
Early,WBC-Malignant-Early-004.jpg,8,411.0,104.56854164600372,0.4723344077965144
